Cache_Number,reads,read misses,writes,write misses,total miss rate,writebacks,memory transactions,cache-to-cache transfers,interventions,invalidations,flushes,SignalRds issued,SignalRdXs issued,SignalUpgrs issued,BusWrs issued,
Cache_0,2580,129,2615,254,0.073725,226
Cache_1,1039570,26810,297218,20023,0.035034,35244
Cache_2,1036170,25363,296228,19584,0.033734,35317
Cache_3,1043517,27919,297850,22828,0.037832,38862
Cache_4,1042831,27978,297572,22755,0.037849,39921
Cache_5,1041259,27861,297026,23822,0.038619,40732
Cache_6,1040744,27716,296934,21137,0.036521,37470
Cache_7,1041317,30731,296737,23241,0.040336,39988
Cache_8,1042689,28242,297031,25529,0.040136,43018
Cache_9,1043039,29756,297252,23992,0.040102,40689
Cache_10,1029674,21184,295535,13090,0.025863,25922
Cache_11,1025324,20557,294372,11126,0.024008,22526
Cache_12,1042498,28876,296783,24353,0.039744,41323
Cache_13,1022919,18902,293758,11393,0.023009,23208
Cache_14,1039930,24695,296421,16470,0.030804,31097
Cache_15,1020061,15891,292546,7727,0.017993,17091
