Cache_Number,reads,read misses,writes,write misses,total miss rate,writebacks,memory transactions,cache-to-cache transfers,interventions,invalidations,flushes,SignalRds issued,SignalRdXs issued,SignalUpgrs issued,BusWrs issued,
Cache_0,2580,132,2615,254,0.074302,283
Cache_1,1039570,47606,297218,35396,0.062091,50319
Cache_2,1036170,46860,296228,33447,0.060273,47765
Cache_3,1043517,50156,297850,38193,0.065865,56578
Cache_4,1042831,50807,297572,39178,0.067133,55803
Cache_5,1041259,49798,297026,40060,0.067144,55850
Cache_6,1040744,49350,296934,35768,0.063631,50322
Cache_7,1041317,52932,296737,39328,0.068951,54822
Cache_8,1042689,50542,297031,39988,0.067574,56687
Cache_9,1043039,52112,297252,40791,0.069316,57089
Cache_10,1029674,41477,295535,27659,0.052170,39639
Cache_11,1025324,39566,294372,26193,0.049829,38116
Cache_12,1042498,50282,296783,39938,0.067365,55076
Cache_13,1022919,36522,293758,24469,0.046322,36106
Cache_14,1039930,45669,296421,30718,0.057161,45138
Cache_15,1020061,32957,292546,20946,0.041066,31120
